,match,GK Home,GK Away,FW Home,FW Away,MF Home,MF Away,DF Home,DF Away,backup Home,backup Away,Year,Winner
33,France-South Africa,88.0,72.0,73.56140350877193,65.0,77.67105263157895,69.67307692307692,78.33333333333333,69.28205128205128,66.19736842105263,63.41025641025641,2010,0
34,Nigeria-South Korea,73.0,65.55555555555556,69.66666666666667,70.85185185185185,59.95833333333334,65.55555555555556,67.80555555555556,66.03703703703704,63.02777777777777,64.1111111111111,2010,1
35,Greece-Argentina,74.0,80.0,73.66666666666667,83.0,70.75,76.75,75.66666666666667,75.23809523809524,63.916666666666664,65.64285714285715,2010,0
36,Slovenia-England,88.0,70.0,74.8030303030303,76.33333333333333,74.0,75.25,73.66666666666667,71.66666666666667,65.83333333333333,65.82407407407408,2010,0
37,United States-Algeria,73.0,81.0,70.66666666666667,69.45,74.0,72.0875,74.36842105263158,72.0,65.44298245614037,64.8625,2010,2
38,Ghana-Germany,72.0,89.0,69.0,69.66666666666667,80.5,86.25,71.66666666666667,79.66666666666667,64.7063492063492,70.15873015873017,2010,0
39,Australia-Serbia,71.0,74.0,67.7121212121212,72.0,67.5,73.0,72.0,74.33333333333333,63.416666666666664,65.93333333333332,2010,2
40,Slovakia-Italy,85.0,88.0,68.66666666666667,76.33333333333333,75.0,75.0,74.0,84.0,65.10984848484848,67.41666666666667,2010,2
41,Paraguay-New Zealand,77.0,65.0,71.48148148148148,71.0,71.75,68.75,75.33333333333333,74.0,66.59722222222221,60.333333333333336,2010,1
42,Denmark-Japan,73.0,62.30769230769231,67.66666666666667,72.43589743589745,74.5,62.15384615384615,71.0,69.87179487179488,61.26515151515152,57.93589743589743,2010,0
43,Cameroon-Netherlands,74.0,76.0,75.97777777777777,80.33333333333333,73.2,71.875,77.0,73.58333333333333,67.14444444444445,66.83333333333333,2010,0
44,Portugal-Brazil,76.0,76.0,71.34920634920634,75.77777777777777,71.5,77.58333333333333,81.66666666666667,81.66666666666667,67.75396825396825,67.08333333333333,2010,1
45,North Korea-Ivory Coast,63.833333333333336,72.0,67.61111111111111,77.66666666666667,63.833333333333336,70.05357142857142,63.833333333333336,74.35714285714285,62.88888888888891,66.94642857142857,2010,0
46,Chile-Spain,72.0,72.0,76.33333333333333,79.66666666666667,79.25,81.0,73.33333333333333,87.33333333333333,64.05952380952381,65.91666666666667,2010,0
47,Switzerland-Honduras,75.0,74.0,72.8030303030303,71.71111111111111,76.75,75.81666666666666,75.66666666666667,69.08888888888889,64.08333333333333,65.86666666666666,2010,1
48,Uruguay-South Korea,81.0,65.55555555555556,77.66666666666667,70.85185185185185,77.26388888888889,65.55555555555556,76.0,66.03703703703704,65.26851851851852,64.1111111111111,2010,2
49,United States-Ghana,73.0,72.0,70.66666666666667,69.0,74.0,80.5,74.36842105263158,71.66666666666667,65.44298245614037,64.7063492063492,2010,0
50,Germany-England,89.0,70.0,69.66666666666667,76.33333333333333,86.25,75.25,79.66666666666667,71.66666666666667,70.15873015873017,65.82407407407408,2010,2
51,Argentina-Mexico,80.0,71.0,83.0,74.17543859649123,76.75,68.38157894736842,75.23809523809524,74.33333333333333,65.64285714285715,65.50438596491229,2010,2
52,Netherlands-Slovakia,76.0,85.0,80.33333333333333,68.66666666666667,71.875,75.0,73.58333333333333,74.0,66.83333333333333,65.10984848484848,2010,2
53,Brazil-Chile,76.0,72.0,75.77777777777777,76.33333333333333,77.58333333333333,79.25,81.66666666666667,73.33333333333333,67.08333333333333,64.05952380952381,2010,2
54,Paraguay-Japan,77.0,62.30769230769231,71.48148148148148,72.43589743589745,71.75,62.15384615384615,75.33333333333333,69.87179487179488,66.59722222222221,57.93589743589743,2010,1
55,Spain-Portugal,72.0,76.0,79.66666666666667,71.34920634920634,81.0,71.5,87.33333333333333,81.66666666666667,65.91666666666667,67.75396825396825,2010,2
56,Netherlands-Brazil,76.0,76.0,80.33333333333333,75.77777777777777,71.875,77.58333333333333,73.58333333333333,81.66666666666667,66.83333333333333,67.08333333333333,2010,2
57,Uruguay-Ghana,81.0,72.0,77.66666666666667,69.0,77.26388888888889,80.5,76.0,71.66666666666667,65.26851851851852,64.7063492063492,2010,1
58,Argentina-Germany,80.0,89.0,83.0,69.66666666666667,76.75,86.25,75.23809523809524,79.66666666666667,65.64285714285715,70.15873015873017,2010,0
59,Paraguay-Spain,77.0,72.0,71.48148148148148,79.66666666666667,71.75,81.0,75.33333333333333,87.33333333333333,66.59722222222221,65.91666666666667,2010,0
60,Uruguay-Netherlands,81.0,76.0,77.66666666666667,80.33333333333333,77.26388888888889,71.875,76.0,73.58333333333333,65.26851851851852,66.83333333333333,2010,0
61,Germany-Spain,89.0,72.0,69.66666666666667,79.66666666666667,86.25,81.0,79.66666666666667,87.33333333333333,70.15873015873017,65.91666666666667,2010,0
